Source,Target,Type,Id,Label,timeset,Weight
1,3,Undirected,0,,,3
2,15,Undirected,2,,,1
2,17,Undirected,3,,,2
2,31,Undirected,4,,,2
2,1,Undirected,5,,,2
1,21,Undirected,6,,,3
1,46,Undirected,7,,,3
1,47,Undirected,8,,,3
21,15,Undirected,9,,,1
3,48,Undirected,10,,,1
3,49,Undirected,11,,,1
3,50,Undirected,12,,,2
3,15,Undirected,13,,,1
3,26,Undirected,14,,,2
3,10,Undirected,15,,,1
3,56,Undirected,68,,,1
53,54,Undirected,17,,,1
3,7,Undirected,19,,,2
55,3,Undirected,20,,,1
3,8,Undirected,21,,,1
2,11,Undirected,22,,,2
2,12,Undirected,23,,,2
2,13,Undirected,24,,,2
2,14,Undirected,25,,,1
13,14,Undirected,26,,,1
13,15,Undirected,27,,,1
16,2,Undirected,28,,,2
18,2,Undirected,29,,,1
19,2,Undirected,30,,,1
20,2,Undirected,31,,,1
3,24,Undirected,32,,,2
3,53,Undirected,33,,,1
3,54,Undirected,65,,,1
3,27,Undirected,35,,,1
3,28,Undirected,36,,,1
3,29,Undirected,37,,,1
3,30,Undirected,38,,,1
3,31,Undirected,39,,,2
3,32,Undirected,40,,,1
3,33,Undirected,41,,,1
3,35,Undirected,42,,,1
3,36,Undirected,43,,,1
3,37,Undirected,44,,,1
3,38,Undirected,45,,,1
3,39,Undirected,46,,,2
3,40,Undirected,47,,,2
3,51,Undirected,48,,,1
3,52,Undirected,49,,,1
15,56,Undirected,50,,,1
51,62,Undirected,67,,,1
3,62,Undirected,66,,,2
2,3,Undirected,53,,,3
3,23,Undirected,54,,,2
3,34,Undirected,55,,,1
3,57,Undirected,56,,,1
3,9,Undirected,57,,,1
3,57,Undirected,58,,,1
15,57,Undirected,59,,,1
3,58,Undirected,60,,,1
3,59,Undirected,61,,,1
3,60,Undirected,62,,,1
3,61,Undirected,63,,,1
3,21,Undirected,64,,,3
